id,task_number,workspace_team_id,time_period,name,comments,likes,assignee_id,status,status_color,execution_period,audience,weight,result_method,target,progress,kpis,child_goal,parent_goal,description,attachments,created_at,updated_at,raw_json
task_11,11,1,This Week,Cost per Mess (Chi phí/cuộc hội thoại),0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,10%,Manual Entry,,0,"[""Cost per Mess""]",Nhóm 1: Hiệu quả chiến dịch,Marketing Performance KPI,Kiểm soát chi phí trên mỗi cuộc hội thoại nhắn tin theo mục tiêu tháng.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_11"",""taskNumber"":11,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Cost per Mess (Chi phí/cuộc hội thoại)"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""10%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Cost per Mess""],""childGoal"":""Nhóm 1: Hiệu quả chiến dịch"",""parentGoal"":""Marketing Performance KPI"",""description"":""Kiểm soát chi phí trên mỗi cuộc hội thoại nhắn tin theo mục tiêu tháng."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_20,20,1,This Week,Đưa ra idea / ref để team video editor / content creator sản xuất,0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,5%,Manual Entry,,0,"[""Creative ideas / ref""]",Nhóm 4: Sáng tạo nội dung về content chạy ads,Marketing Performance KPI,Đề xuất idea và reference để team sản xuất video/content ads theo mục tiêu tháng.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_20"",""taskNumber"":20,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Đưa ra idea / ref để team video editor / content creator sản xuất"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""5%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Creative ideas / ref""],""childGoal"":""Nhóm 4: Sáng tạo nội dung về content chạy ads"",""parentGoal"":""Marketing Performance KPI"",""description"":""Đề xuất idea và reference để team sản xuất video/content ads theo mục tiêu tháng."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_21,21,1,This Week,Brief thiết kế dựa trên idea / ref để sản xuất Content Ads,0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,5%,Manual Entry,,0,"[""Creative brief completion""]",Nhóm 4: Sáng tạo nội dung về content chạy ads,Marketing Performance KPI,Hoàn thiện brief thiết kế dựa trên idea và reference để sản xuất content ads.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_21"",""taskNumber"":21,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Brief thiết kế dựa trên idea / ref để sản xuất Content Ads"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""5%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Creative brief completion""],""childGoal"":""Nhóm 4: Sáng tạo nội dung về content chạy ads"",""parentGoal"":""Marketing Performance KPI"",""description"":""Hoàn thiện brief thiết kế dựa trên idea và reference để sản xuất content ads."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_5,5,2,This Week,Build KPI breakfast report,10,5,people_3,In Progress,bg-green-100 text-green-800 dark:bg-green-900 dark:text-green-300,Week 1 (01/03 - 07/03/2026),Personal,40%,Manual Entry,,65,"[""KPI Report Completion"",""Accuracy Rate""]",Weekly KPI pack,Breakfast Operations,Build the weekly KPI report used in the breakfast planning review.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_5"",""taskNumber"":5,""workspaceTeamId"":""2"",""timePeriod"":""This Week"",""name"":""Build KPI breakfast report"",""comments"":10,""likes"":5,""assigneeId"":""people_3"",""status"":""In Progress"",""statusColor"":""bg-green-100 text-green-800 dark:bg-green-900 dark:text-green-300"",""executionPeriod"":""Week 1 (01/03 - 07/03/2026)"",""audience"":""Personal"",""weight"":""40%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":65,""kpis"":[""KPI Report Completion"",""Accuracy Rate""],""childGoal"":""Weekly KPI pack"",""parentGoal"":""Breakfast Operations"",""description"":""Build the weekly KPI report used in the breakfast planning review."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_13,13,1,This Week,Cost per Checkout (Chi phí/lượt checkout),0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,5%,Manual Entry,,0,"[""Cost per Checkout""]",Nhóm 1: Hiệu quả chiến dịch,Marketing Performance KPI,Tối ưu chi phí trên mỗi lượt checkout theo mục tiêu tháng.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_13"",""taskNumber"":13,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Cost per Checkout (Chi phí/lượt checkout)"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""5%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Cost per Checkout""],""childGoal"":""Nhóm 1: Hiệu quả chiến dịch"",""parentGoal"":""Marketing Performance KPI"",""description"":""Tối ưu chi phí trên mỗi lượt checkout theo mục tiêu tháng."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_22,22,1,This Week,"Tuân thủ quy trình, nội quy công ty",0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,5%,Manual Entry,,0,"[""Process compliance""]",Nhóm 5: Thái độ & kỷ luật,Marketing Performance KPI,"Đảm bảo tuân thủ quy trình vận hành, nội quy và quy định công ty.",[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_22"",""taskNumber"":22,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Tuân thủ quy trình, nội quy công ty"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""5%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Process compliance""],""childGoal"":""Nhóm 5: Thái độ & kỷ luật"",""parentGoal"":""Marketing Performance KPI"",""description"":""Đảm bảo tuân thủ quy trình vận hành, nội quy và quy định công ty."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_24,24,1,This Week,Linh động theo sự sắp xếp của Ban Giám Đốc và Quản lý,0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,10%,Manual Entry,,0,"[""Management-assigned achievements""]",Nhóm 6: Các thành tựu nổi bật được ghi nhận,Marketing Performance KPI,Thực hiện linh động các đầu việc phát sinh theo sắp xếp của Ban Giám Đốc và Quản lý.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_24"",""taskNumber"":24,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Linh động theo sự sắp xếp của Ban Giám Đốc và Quản lý"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""10%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Management-assigned achievements""],""childGoal"":""Nhóm 6: Các thành tựu nổi bật được ghi nhận"",""parentGoal"":""Marketing Performance KPI"",""description"":""Thực hiện linh động các đầu việc phát sinh theo sắp xếp của Ban Giám Đốc và Quản lý."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_7,7,2,Last Week,Document breakfast workflow,3,2,people_3,Completed,bg-blue-100 text-blue-800 dark:bg-blue-900 dark:text-blue-300,Week 4 (22/02 - 28/02/2026),Team,15%,Manual Entry,,100,"[""Documentation Coverage""]",Ops documentation,Breakfast Operations,Documented the breakfast workflow for easier handoff and tracking.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_7"",""taskNumber"":7,""workspaceTeamId"":""2"",""timePeriod"":""Last Week"",""name"":""Document breakfast workflow"",""comments"":3,""likes"":2,""assigneeId"":""people_3"",""status"":""Completed"",""statusColor"":""bg-blue-100 text-blue-800 dark:bg-blue-900 dark:text-blue-300"",""executionPeriod"":""Week 4 (22/02 - 28/02/2026)"",""audience"":""Team"",""weight"":""15%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":100,""kpis"":[""Documentation Coverage""],""childGoal"":""Ops documentation"",""parentGoal"":""Breakfast Operations"",""description"":""Documented the breakfast workflow for easier handoff and tracking."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_8,8,2,This Month,Optimize cost tracking sheet,6,4,people_3,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,March 2026,Personal,20%,Manual Entry,,0,"[""Cost Variance""]",Cost controls,Breakfast Operations,Optimize tracking logic for breakfast operational costs and variance.,[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_8"",""taskNumber"":8,""workspaceTeamId"":""2"",""timePeriod"":""This Month"",""name"":""Optimize cost tracking sheet"",""comments"":6,""likes"":4,""assigneeId"":""people_3"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""March 2026"",""audience"":""Personal"",""weight"":""20%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Cost Variance""],""childGoal"":""Cost controls"",""parentGoal"":""Breakfast Operations"",""description"":""Optimize tracking logic for breakfast operational costs and variance."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
task_17,17,1,This Week,Gắn tag tracking người dùng nhắn tin trên Meta,0,0,people_0,Pending,bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300,Week 1 (01/04 - 07/04/2026),Personal,5%,Manual Entry,,0,"[""Tracking tagged users""]",Nhóm 2: Quản lý ngân sách & tối ưu,Marketing Performance KPI,"Gắn tag tracking cho người dùng nhắn tin trên Meta, mục tiêu tối thiểu >= 70% total Mess.",[],2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""task_17"",""taskNumber"":17,""workspaceTeamId"":""1"",""timePeriod"":""This Week"",""name"":""Gắn tag tracking người dùng nhắn tin trên Meta"",""comments"":0,""likes"":0,""assigneeId"":""people_0"",""status"":""Pending"",""statusColor"":""bg-pink-100 text-pink-800 dark:bg-pink-900 dark:text-pink-300"",""executionPeriod"":""Week 1 (01/04 - 07/04/2026)"",""audience"":""Personal"",""weight"":""5%"",""resultMethod"":""Manual Entry"",""target"":"""",""progress"":0,""kpis"":[""Tracking tagged users""],""childGoal"":""Nhóm 2: Quản lý ngân sách & tối ưu"",""parentGoal"":""Marketing Performance KPI"",""description"":""Gắn tag tracking cho người dùng nhắn tin trên Meta, mục tiêu tối thiểu >= 70% total Mess."",""attachments"":[],""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
